Alias,Grado
9914,1
12858,1
13367,1
14849,1
12600,1
7848,1
12411,1
9599,1
4549,1
13846,1
2410,1
2974,1
6732,1
9741,1
874,1
14848,1
1143,1
4078,1
8669,1
2614,1
4958,1
7350,1
3823,1
9752,1
3699,1
7509,1
15074,1
8610,1
9594,1
14585,1
9501,1
12128,1
17053,1
1775,1
2244,1
12841,1
12084,1
11813,1
11590,1
5517,1
10488,1
1370,1
13515,1
9325,1
6773,1
4720,1
11818,1
5657,1
1581,1
6403,1
5023,1
16502,1
13755,1
8180,1
5409,1
6834,1
10631,1
7916,1
1847,1
6963,1
6448,1
3422,1
12671,1
13689,1
6328,1
12679,1
12271,1
9171,1
5633,1
15275,1
5776,1
10129,1
8614,1
11799,1
12913,1
12729,1
9404,1
1136,1
1507,1
5327,1
5334,1
9695,1
4065,1
63,1
13932,1
2381,1
13486,1
15515,1
16774,1
10314,1
1648,1
2594,1
2738,1
6580,1
5917,1
7173,1
7268,1
10291,1
11575,1
15785,1
5163,1
491,1
4881,1
4847,1
4434,1
11429,1
11640,1
11794,1
13250,1
3933,1
3423,1
14410,1
12447,1
14112,1
16412,1
2706,1
2753,1
1497,1
12360,1
4450,1
13801,1
10334,1
16193,1
778,1
7068,1
12329,1
3616,1
6016,1
6480,1
12314,1
13659,1
229,1
3923,1
17299,1
10623,1
2874,1
14766,1
2628,1
17210,1
12482,1
5475,1
1733,1
3346,1
8910,1
14968,1
12351,1
12968,1
13285,1
8440,1
10648,1
8663,1
14067,1
5147,1
212,1
3886,1
1029,1
8068,1
12698,1
16655,1
16346,1
15973,1
11056,1
12181,1
5033,1
5937,1
73,1
12328,1
16737,1
14382,1
5823,1
12994,1
10927,1
14003,1
8317,1
13980,1
14937,1
6187,1
7562,1
10432,1
12780,1
3533,1
8028,1
7386,1
16582,1
7455,1
14980,1
5079,1
8089,1
11389,1
8780,1
803,1
14496,1
12807,1
16291,1
1936,1
1938,1
1150,1
6902,1
5262,1
13030,1
13146,1
13579,1
4628,1
4270,1
6314,1
13611,1
11765,1
1915,1
17062,1
2783,1
6841,1
9527,1
11301,1
12876,1
8473,1
10875,1
78,1
1170,1
6344,1
2854,1
16926,1
7737,1
15437,1
4437,1
13175,1
15185,1
16967,1
33,1
652,1
599,1
5948,1
12001,1
13696,1
15370,1
4158,1
15801,1
1035,1
14616,1
12262,1
14505,1
11867,1
13633,1
1872,1
4159,1
7453,1
10190,1
12743,1
5835,1
1860,1
12597,1
15195,1
1582,1
14459,1
10785,1
8660,1
995,1
16565,1
17065,1
707,1
1779,1
2772,1
2671,1
6539,1
10522,1
5361,1
7517,1
8916,1
6557,1
544,1
6880,1
13263,1
14099,1
14321,1
10385,1
12062,1
15786,1
4043,1
6924,1
8625,1
7568,1
1895,1
9875,1
5102,1
12284,1
11946,1
7703,1
13220,1
7247,1
7328,1
8967,1
10902,1
12017,1
11292,1
15277,1
211,1
1542,1
15956,1
16316,1
5574,1
15546,1
4707,1
6503,1
15050,1
7003,1
7796,1
5096,1
13286,1
816,1
12118,1
2962,1
9043,1
6801,1
11747,1
3269,1
16721,1
2355,1
3783,1
4125,1
4760,1
273,1
7243,1
12497,1
17239,1
5537,1
7722,1
11687,1
4323,1
14913,1
7850,1
14504,1
12625,1
14847,1
9139,1
9631,1
14237,1
15132,1
9928,1
10082,1
1691,1
2044,1
14228,1
3270,1
11871,1
95,1
2023,1
12460,1
13647,1
2466,1
3402,1
7226,1
7518,1
11205,1
12853,1
11892,1
9821,1
1338,1
7555,1
8150,1
9535,1
9558,1
11011,1
12660,1
14197,1
715,1
1259,1
1287,1
16101,1
5830,1
10227,1
17163,1
4030,1
9458,1
12180,1
13372,1
868,1
16841,1
2621,1
11949,1
7841,1
2484,1
8691,1
9539,1
7937,1
12345,1
12973,1
17002,1
11865,1
8932,1
11168,1
7404,1
10871,1
1716,1
9211,1
11231,1
17281,1
427,1
676,1
13433,1
6835,1
14277,1
1,1
1771,1
2922,1
1541,1
5095,1
10398,1
15352,1
7905,1
12518,1
9791,1
1245,1
14200,1
14785,1
